{성별},{한국어},{1격 정관사 명사},{3격 정관사 명사},{4격 정관사 명사},{1격 부정관사 명사},{3격 부정관사 명사},{4격 부정관사 명사},{복수 정관사 명사},{이미지}
남성,의사,der Arzt,dem Arzt,den Arzt,ein Arzt,einem Arzt,einen Arzt,die Ärzte,images/Arzt.png
여성,여의사,die Ärztin,der Ärztin,die Ärztin,eine Ärztin,einer Ärztin,eine Ärztin,die Ärztinnen,images/Ärztin.png
남성,선생님,der Lehrer,dem Lehrer,den Lehrer,ein Lehrer,einem Lehrer,einen Lehrer,die Lehrer,images/Lehrer.png
여성,여선생님,die Lehrerin,der Lehrerin,die Lehrerin,eine Lehrerin,einer Lehrerin,eine Lehrerin,die Lehrerinnen,images/Lehrerin.png
남성,요리사,der Koch,dem Koch,den Koch,ein Koch,einem Koch,einen Koch,die Köche,images/Koch.png
남성,판매원,der Verkäufer,dem Verkäufer,den Verkäufer,ein Verkäufer,einem Verkäufer,einen Verkäufer,die Verkäufer,images/Verkäufer.png
남성,경찰,der Polizist,dem Polizisten,den Polizisten,ein Polizist,einem Polizisten,einen Polizisten,die Polizisten,images/Polizist.png
남성,웨이터,der Kellner,dem Kellner,den Kellner,ein Kellner,einem Kellner,einen Kellner,die Kellner,images/Kellner.png
여성,여웨이터,die Kellnerin,der Kellnerin,die Kellnerin,eine Kellnerin,einer Kellnerin,eine Kellnerin,die Kellnerinnen,images/Kellnerin.png
남성,프로그래머,der Programmierer,dem Programmierer,den Programmierer,ein Programmierer,einem Programmierer,einen Programmierer,die Programmierer,images/Programmierer.png
남성,미용사,der Friseur,dem Friseur,den Friseur,ein Friseur,einem Friseur,einen Friseur,die Friseure,images/Friseur.png
여성,여미용사,die Friseurin,der Friseurin,die Friseurin,eine Friseurin,einer Friseurin,eine Friseurin,die Friseurinnen,images/Friseurin.png
남성,기자,der Journalist,dem Journalisten,den Journalisten,ein Journalist,einem Journalisten,einen Journalisten,die Journalisten,images/Journalist.png
남성,대학생,der Student,dem Studenten,den Studenten,ein Student,einem Studenten,einen Studenten,die Studenten,images/Student.png
여성,여대생,die Studentin,der Studentin,die Studentin,eine Studentin,einer Studentin,eine Studentin,die Studentinnen,images/Studentin.png
남성,직원,der Angestellte,dem Angestellten,den Angestellten,ein Angestellter,einem Angestellten,einen Angestellten,die Angestellten,images/Angestellte.png
남성,사장님,der Chef,dem Chef,den Chef,ein Chef,einem Chef,einen Chef,die Chefs,images/Chef.png
여성,여사장님,die Chefin,der Chefin,die Chefin,eine Chefin,einer Chefin,eine Chefin,die Chefinnen,images/Chefin.png
남성,사과,der Apfel,dem Apfel,den Apfel,ein Apfel,einem Apfel,einen Apfel,die Äpfel,images/Apfel.png
여성,바나나,die Banane,der Banane,die Banane,eine Banane,einer 바나나,eine Banane,die Bananen,images/Banane.png
중성,빵,das Brot,dem Brot,das Brot,ein Brot,einem Brot,ein Brot,die Brote,images/Brot.png
중성,계란,das Ei,dem Ei,das Ei,ein Ei,einem Ei,ein Ei,die Eier,images/Ei.png
남성,치즈,der Käse,dem Käse,den Käse,ein Käse,einem Käse,einen Käse,die Käse,images/Käse.png
여성,소시지,die Wurst,der Wurst,die Wurst,eine Wurst,einer Wurst,eine Wurst,die Würste,images/Wurst.png
중성,고기,das Fleisch,dem Fleisch,das Fleisch,ein Fleisch,einem Fleisch,ein Fleisch,die Fleischarten,images/Fleisch.png
남성,샐러드,der Salat,dem Salat,den Salat,ein Salat,einem Salat,einen Salat,die Salate,images/Salat.png
남성,쌀,der Reis,dem Reis,den Reis,ein Reis,einem Reis,einen Reis,die Reise,images/Reis.png
여성,피자,die Pizza,der Pizza,die Pizza,eine Pizza,einer Pizza,eine Pizza,die Pizzas,images/Pizza.png
남성,햄버거,der Hamburger,dem Hamburger,den Hamburger,ein Hamburger,einem Hamburger,einen Hamburger,die Hamburger,images/Hamburger.png
여성,국수,die Nudeln,den Nudeln,die Nudeln,-,-,-,die Nudeln,images/Nudeln.png
남성,꿀,der Honig,dem Honig,den Honig,ein Honig,einem Honig,einen Honig,die Honige,images/Honig.png
여성,설탕,der Zucker,dem Zucker,den Zucker,ein Zucker,einem Zucker,einen Zucker,die Zucker,images/Zucker.png
중성,소금,das Salz,dem Salz,das Salz,ein Salz,einem Salz,ein Salz,die Salze,images/Salz.png
남성,후추,der Pfeffer,dem Pfeffer,den Pfeffer,ein Pfeffer,einem Pfeffer,einen Pfeffer,die Pfeffer,images/Pfeffer.png
여성,버터,die Butter,der Butter,die Butter,eine Butter,einer Butter,eine Butter,die Buttern,images/Butter.png
남성,마늘,der Knoblauch,dem Knoblauch,den Knoblauch,ein Knoblauch,einem Knoblauch,einen Knoblauch,die Knoblauchzehen,images/Knoblauch.png
여성,양파,die Zwiebel,der Zwiebel,die Zwiebel,eine Zwiebel,einer Zwiebel,eine Zwiebel,die Zwiebeln,images/Zwiebel.png
남성,케이크,der Kuchen,dem Kuchen,den Kuchen,ein Kuchen,einem Kuchen,einen Kuchen,die Kuchen,images/Kuchen.png
중성,과일,das Obst,dem Obst,das Obst,-,-,-,die Obstsorten,images/Obst.png
중성,채소,das Gemüse,dem Gemüse,das Gemüse,-,-,-,die Gemüse,images/Gemüse.png
남성,생선,der Fisch,dem Fisch,den Fisch,ein Fisch,einem Fisch,einen Fisch,die Fische,images/Fisch.png
남성,커피,der Kaffee,dem Kaffee,den Kaffee,ein Kaffee,einem Kaffee,einen Kaffee,die Kaffees,images/Kaffee.png
여성,우유,die Milch,der Milch,die Milch,eine Milch,einer Milch,eine Milch,die Milchen,images/Milch.png
중성,물,das Wasser,dem Wasser,das 기초,ein Wasser,einem Wasser,ein 기초,die Wässer,images/Wasser.png
남성,차(Tea),der Tee,dem Tee,den Tee,ein Tee,einem Tee,einen Tee,die Tees,images/Tee.png
남성,주스,der Saft,dem Saft,den Saft,ein Saft,einem Saft,einen Saft,die Säfte,images/Saft.png
남성,알코올,der Alkohol,dem Alkohol,den Alkohol,ein Alkohol,einem Alkohol,einen Alkohol,die Alkohole,images/Alkohol.png
중성,맥주,das Bier,dem Bier,das Bier,ein Bier,einem Bier,ein Bier,die Biere,images/Bier.png
남성,와인,der Wein,dem Wein,den Wein,ein 와인,einem Wein,einen Wein,die Weine,images/Wein.png
여성,콜라,die Cola,der Cola,die Cola,eine Cola,einer Cola,eine Cola,die Colas,images/Cola.png
여성,레모네이드,die Limonade,der Limonade,die Limonade,eine Limonade,einer Limonade,eine Limonade,die Limonaden,images/Limonade.png
중성,집,das Haus,dem Haus,das Haus,ein Haus,einem Haus,ein Haus,die Häuser,images/Haus.png
여성,아파트,die Wohnung,der Wohnung,die Wohnung,eine Wohnung,einer Wohnung,eine Wohnung,die Wohnungen,images/Wohnung.png
중성,방,das Zimmer,dem Zimmer,das Zimmer,ein Zimmer,einem Zimmer,ein Zimmer,die Zimmer,images/Zimmer.png
여성,주방,die Küche,der Küche,die Küche,eine Küche,einer Küche,eine Küche,die Küchen,images/Küche.png
남성,책상,der Tisch,dem Tisch,den Tisch,ein Tisch,einem Tisch,einen Tisch,die Tische,images/Tisch.png
남성,의자,der Stuhl,dem Stuhl,den Stuhl,ein Stuhl,einem Stuhl,einen Stuhl,die Stühle,images/Stuhl.png
남성,옷장,der Schrank,dem Schrank,den Schrank,ein Schrank,einem Schrank,einen Schrank,die Schränke,images/Schrank.png
중성,침대,das Bett,dem Bett,das Bett,ein Bett,einem Bett,ein Bett,die Betten,images/Bett.png
여성,전등,die Lampe,der Lampe,die Lampe,eine Lampe,einer Lampe,eine Lampe,die Lampen,images/Lampe.png
중성,호텔,das Hotel,dem Hotel,das Hotel,ein Hotel,einem Hotel,ein Hotel,die Hotels,images/Hotel.png
중성,박물관,das Museum,dem Museum,das Museum,ein Museum,einem Museum,ein Museum,die Museen,images/Museum.png
중성,극장,das Theater,dem Theater,das Theater,ein Theater,einem Theater,ein Theater,die Theater,images/Theater.png
여성,도서관,die Bibliothek,der Bibliothek,die Bibliothek,eine Bibliothek,einer Bibliothek,eine Bibliothek,die Bibliotheken,images/Bibliothek.png
중성,수영장,das Schwimmbad,dem Schwimmbad,das Schwimmbad,ein Schwimmbad,einem Schwimmbad,ein Schwimmbad,die Schwimmbäder,images/Schwimmbad.png
남성,시장,der Markt,dem Markt,den Markt,ein Markt,einem 시장,einen 시장,die Märkte,images/Markt.png
여성,은행,die Bank,der Bank,die Bank,eine Bank,einer Bank,eine Bank,die Banken,images/Bank.png
여성,우체국,die Post,der Post,die Post,eine Post,einer Post,eine Post,die Posten,images/Post.png
여성,경찰서,die Polizei,der Polizei,die Polizei,eine Polizei,einer Polizei,eine Polizei,die Polizeien,images/Polizei.png
여성,대학교,die Universität,der Universität,die Universität,eine Universität,einer Universität,eine Universität,die Universitäten,images/Universität.png
중성,사무실,das Büro,dem Büro,das Büro,ein Büro,einem Büro,ein Büro,die Büros,images/Büro.png
여성,정류장,die Haltestelle,der Haltestelle,die Haltestelle,eine Haltestelle,einer Haltestelle,eine Haltestelle,die Haltestellen,images/Haltestelle.png
남성,공항,der Flughafen,dem Flughafen,den Flughafen,ein Flughafen,einem Flughafen,einen Flughafen,die Flughäfen,images/Flughafen.png
남성,항구,der Hafen,dem Hafen,den Hafen,ein Hafen,einem Hafen,einen Hafen,die Häfen,images/Hafen.png
여성,국경,die Grenze,der Grenze,die 기초,eine Grenze,einer Grenze,eine 기초,die Grenzen,images/Grenze.png
남성,기차역,der Bahnhof,dem Bahnhof,den Bahnhof,ein Bahnhof,einem Bahnhof,einen Bahnhof,die Bahnhöfe,images/Bahnhof.png
여성,학교,die Schule,der Schule,die Schule,eine Schule,einer Schule,eine Schule,die Schulen,images/Schule.png
중성,병원,das Krankenhaus,dem Krankenhaus,das 기초,ein Krankenhaus,einem Krankenhaus,ein 기초,die Krankenhäuser,images/Krankenhaus.png
여성,도시,die Stadt,der Stadt,die 기초,eine Stadt,einer Stadt,eine 기초,die Städte,images/Stadt.png
중성,나라,das Land,dem Land,das 기초,ein Land,einem Land,ein 기초,die Länder,images/Land.png
남성,공원,der Park,dem Park,den Park,ein Park,einem Park,einen Park,die Parks,images/Park.png
남성,버스,der Bus,dem Bus,den Bus,ein Bus,einem Bus,einen Bus,die Busse,images/Bus.png
여성,지하철,die U-Bahn,der U-Bahn,die U-Bahn,eine U-Bahn,einer U-Bahn,eine U-Bahn,die U-Bahnen,images/U-Bahn.png
중성,자동차,das Auto,dem Auto,das 기초,ein Auto,einem Auto,ein 기초,die Autos,images/Auto.png
중성,자전거,das Fahrrad,dem Fahrrad,das 기초,ein Fahrrad,einem Fahrrad,ein 기초,die Fahrräder,images/Fahrrad.png
남성,기차,der Zug,dem Zug,den Zug,ein Zug,einem Zug,einen Zug,die Züge,images/Zug.png
여성,노면전차,die Straßenbahn,der Straßenbahn,die Straßenbahn,eine Straßenbahn,einer Straßenbahn,eine Straßenbahn,die Straßenbahnen,images/Straßenbahn.png
여성,도시철도,die S-Bahn,der S-Bahn,die S-Bahn,eine S-Bahn,einer S-Bahn,eine S-Bahn,die S-Bahnen,images/S-Bahn.png
중성,비행기,das Flugzeug,dem Flugzeug,das 기초,ein Flugzeug,einem Flugzeug,ein 기초,die Flugzeuge,images/Flugzeug.png
중성,택시,das Taxi,dem Taxi,das 기초,ein Taxi,einem Taxi,ein 기초,die Taxis,images/Taxi.png
남성,트럭,der LKW,dem LKW,den LKW,ein LKW,einem LKW,einen LKW,die LKWs,images/LKW.png
남성,오토바이,der Roller,dem Roller,den Roller,ein Roller,einem Roller,einen Roller,die Roller,images/Roller.png
남성,도보,der Fußweg,dem Fußweg,den Fußweg,ein Fußweg,einem Fußweg,einen Fußweg,die Fußwege,images/Fußweg.png
남성,슈퍼마켓,der Supermarkt,dem Supermarkt,den Supermarkt,ein Supermarkt,einem Supermarkt,einen Supermarkt,die Supermärkte,images/Supermarkt.png
여성,빵집,die Bäckerei,der Bäckerei,die 기초,eine Bäckerei,einer Bäckerei,eine 기초,die Bäckereien,images/Bäckerei.png
여성,약국,die Apotheke,der Apothe케,die 기초,eine Apotheke,einer Apotheke,eine 기초,die Apotheken,images/Apotheke.png
중성,백화점,das Kaufhaus,dem Kaufhaus,das 기초,ein Kaufhaus,einem Kaufhaus,ein 기초,die Kaufhäuser,images/Kaufhaus.png
중성,식당,das Restaurant,dem Restaurant,das 기초,ein Restaurant,einem Restaurant,ein 기초,die Restaurants,images/Restaurant.png
남성,날(Day),der Tag,dem Tag,den Tag,ein Tag,einem Tag,einen Tag,die Tage,images/Tag.png
여성,시간,die Zeit,der Zeit,die 기초,eine Zeit,einer Zeit,eine 기초,die Zeiten,images/Zeit.png
중성,년(Year),das Jahr,dem Jahr,das 기초,ein Jahr,einem Jahr,ein 기초,die Jahre,images/Jahr.png
여성,주(Week),die Woche,der Woche,die 기초,eine Woche,einer Woche,eine 기초,die Wochen,images/Woche.png
남성,달(Month),der Monat,dem Monat,den Monat,ein Monat,einem Monat,einen Monat,die Monate,images/Monat.png
남성,아침,der Morgen,dem Morgen,den Morgen,ein Morgen,einem Morgen,einen Morgen,die Morgen,images/Morgen.png
남성,저녁,der Abend,dem Abend,den Abend,ein Abend,einem Abend,einen Abend,die Abende,images/Abend.png
여성,밤,die Nacht,der Nacht,die 기초,eine Nacht,einer Nacht,eine 기초,die Nächte,images/Nacht.png
여성,초,die Sekunde,der Sekunde,die 기초,eine Sekunde,einer Sekunde,eine 기초,die Sekunden,images/Sekunde.png
여성,분,die Minute,der Minute,die 기초,eine Minute,einer Minute,eine 기초,die Minuten,images/Minute.png
여성,시간(단위),die Stunde,der Stunde,die 기초,eine Stunde,einer 기초,eine 기초,die Stunden,images/Stunde.png
남성,정오,der Mittag,dem Mittag,den Mittag,ein Mittag,einem Mittag,einen Mittag,die Mittage,images/Mittag.png
남성,오전,der Vormittag,dem Vormittag,den Vormittag,ein Vormittag,einem Vormittag,einen Vormittag,die Vormittage,images/Vormittag.png
남성,오후,der Nachmittag,dem Nachmittag,den Nachmittag,ein Nachmittag,einem Nachmittag,einen Nachmittag,die Nachmittage,images/Nachmittag.png
남성,월요일,der Montag,dem Montag,den Montag,ein Montag,einem Montag,einen Montag,die Montage,images/Montag.png
남성,화요일,der Dienstag,dem Dienstag,den Dienstag,ein Dienstag,einem Dienstag,einen Dienstag,die Dienstage,images/Dienstag.png
남성,수요일,der Mittwoch,dem Mittwoch,den 기초,ein 기초,einem 기초,einen 기초,die Mittwoche,images/Mittwoch.png
남성,목요일,der Donnerstag,dem Donnerstag,den 기초,ein 기초,einem 기초,einen 기초,die Donnerstage,images/Donnerstag.png
남성,금요일,der Freitag,dem Freitag,den 기초,ein 기초,einem 기초,einen 기초,die Freitage,images/Freitag.png
남성,토요일,der Samstag,dem Samstag,den 기초,ein 기초,einem 기초,einen 기초,die Samstage,images/Samstag.png
남성,일요일,der Sonntag,dem Sonntag,den 기초,ein 기초,einem 기초,einen 기초,die Sonntage,images/Sonntag.png
남성,봄,der Frühling,dem Frühling,den 기초,ein 기초,einem 기초,einen 기초,die Frühlinge,images/Frühling.png
남성,여름,der Sommer,dem Sommer,den 기초,ein 기초,einem 기초,einen 기초,die Sommer,images/Sommer.png
남성,가을,der Herbst,dem Herbst,den 기초,ein 기초,einem 기초,einen 기초,die Herbste,images/Herbst.png
남성,겨울,der Winter,dem Winter,den 기초,ein 기초,einem 기초,einen 기초,die Winter,images/Winter.png
중성,휴대폰,das Handy,dem Handy,das 기초,ein Handy,einem Handy,ein 기초,die Handys,images/Handy.png
중성,책,das Buch,dem Buch,das 기초,ein Buch,einem 기초,ein 기초,die Bücher,images/Buch.png
남성,열쇠,der Schlüssel,dem Schlüssel,den 기초,ein 기초,einem 기초,einen 기초,die Schlüssel,images/Schlüssel.png
여성,가방,die Tasche,der Tasche,die 기초,eine 기초,einer 기초,eine 기초,die Taschen,images/Tasche.png
여성,안경,die Brille,der Brille,die 기초,eine 기초,einer 기초,eine 기초,die Brillen,images/Brille.png
남성,컴퓨터,der Computer,dem Computer,den 기초,ein 기초,einem 기초,einen 기초,die Computer,images/Computer.png
남성,모니터,der Monitor,dem Monitor,den 기초,ein 기초,einem 기초,einen 기초,die Monitore,images/Monitor.png
여성,마우스,die Maus,der Maus,die 기초,eine 기초,einer 기초,eine 기초,die Mäuse,images/Maus.png
여성,키보드,die Tastatur,der Tastatur,die 기초,eine 기초,einer 기초,eine 기초,die Tastaturen,images/Tastatur.png
남성,프린터,der Drucker,dem Drucker,den 기초,ein 기초,einem 기초,einen 기초,die Drucker,images/Drucker.png
여성,카메라,die Kamera,der Kamera,die 기초,eine 기초,einer 기초,eine 기초,die Kameras,images/Kamera.png
중성,라디오,das Radio,dem Radio,das 기초,ein 기초,einem 기초,ein 기초,die Radios,images/Radio.png
남성,텔레비전,der Fernseher,dem Fernseher,den 기초,ein 기초,einem 기초,einen 기초,die Fernseher,images/Fernseher.png
중성,그림,das Bild,dem Bild,das 기초,ein 기초,einem 기초,ein 기초,die Bilder,images/Bild.png
남성,볼펜,der Kugelschreiber,dem Kugelschreiber,den 기초,ein 기초,einem 기초,einen 기초,die Kugelschreiber,images/Kugelschreiber.png
남성,연필,der Bleistift,dem Bleistift,den 기초,ein 기초,einem 기초,einen 기초,die Bleistifte,images/Bleistift.png
중성,종이,das Papier,dem Papier,das 기초,ein 기초,einem 기초,ein 기초,die Papiere,images/Papier.png
여성,가위,die Schere,der Schere,die 기초,eine 기초,einer 기초,eine 기초,die Scheren,images/Schere.png
남성,지갑,der Geldbeutel,dem Geldbeutel,den 기초,ein 기초,einem 기초,einen 기초,die Geldbeutel,images/Geldbeutel.png
남성,우산,der Regenschirm,dem Regenschirm,den 기초,ein 기초,einem 기초,einen 기초,die Regenschirme,images/Regenschirm.png
중성,날씨,das Wetter,dem Wetter,das 기초,ein 기초,einem 기초,ein 기초,die Wetter,images/Wetter.png
여성,태양,die Sonne,der Sonne,die 기초,eine 기초,einer 기초,eine 기초,die Sonnen,images/Sonne.png
남성,비,der Regen,dem Regen,den 기초,ein 기초,einem 기초,einen 기초,die Regen,images/Regen.png
남성,바람,der Wind,dem Wind,den 기초,ein 기초,einem 기초,einen 기초,die Winde,images/Wind.png
여성,구름,die Wolke,der Wolke,die 기초,eine 기초,einer 기초,eine 기초,die Wolken,images/Wolke.png
남성,천둥,der Donner,dem Donner,den 기초,ein 기초,einem 기초,einen 기초,die Donner,images/Donner.png
남성,번개,der Blitz,dem Blitz,den 기초,ein 기초,einem 기초,einen 기초,die Blitze,images/Blitz.png
남성,안개,der Nebel,dem Nebel,den 기초,ein 기초,einem 기초,einen 기초,die Nebel,images/Nebel.png
남성,폭풍,der Sturm,dem Sturm,den 기초,ein 기초,einem 기초,einen 기초,die Stürme,images/Sturm.png
남성,눈,der Schnee,dem Schnee,den 기초,ein 기초,einem 기초,einen 기초,die Schnee,images/Schnee.png
남성,서리,der Frost,dem Frost,den 기초,ein 기초,einem 기초,einen 기초,die Fröste,images/Frost.png
여성,습도,die Feuchtigkeit,der Feuchtigkeit,die 기초,eine 기초,einer 기초,eine 기초,die Feuchtigkeiten,images/Feuchtigkeit.png
여성,온도,die Temperatur,der Temperatur,die 기초,eine 기초,einer 기초,eine 기초,die Temperaturen,images/Temperatur.png
여성,더위,die Hitze,der Hitze,die 기초,eine 기초,einer 기초,eine 기초,die Hitzen,images/Hitze.png
여성,추위,die Kälte,der Kälte,die 기초,eine 기초,einer 기초,eine 기초,die Kälten,images/Kälte.png
여성,바지,die Hose,der Hose,die 기초,eine 기초,einer 기초,eine 기초,die Hosen,images/Hose.png
중성,셔츠,das Hemd,dem Hemd,das 기초,ein 기초,einem 기초,ein 기초,die Hemden,images/Hemd.png
남성,코트,der Mantel,dem Mantel,den 기초,ein 기초,einem 기초,einen 기초,die Mäntel,images/Mantel.png
여성,재킷,die Jacke,der Jacke,die 기초,eine 기초,einer 기초,eine 기초,die Jacken,images/Jacke.png
여성,모자,die Mütze,der Mütze,die 기초,eine 기초,einer 기초,eine 기초,die Mützen,images/Mütze.png
남성,치마,der Rock,dem Rock,den 기초,ein 기초,einem 기초,einen 기초,die Röcke,images/Rock.png
중성,드레스,das Kleid,dem Kleid,das 기초,ein 기초,einem 기초,ein 기초,die Kleider,images/Kleid.png
남성,장화,der Stiefel,dem Stiefel,den 기초,ein 기초,einem 기초,einen 기초,die Stiefel,images/Stiefel.png
여성,양말,die Socke,der Socke,die 기초,eine 기초,einer 기초,eine 기초,die Socken,images/Socke.png
남성,벨트,der Gürtel,dem Gürtel,den 기초,ein 기초,einem 기초,einen 기초,die Gürtel,images/Gürtel.png
남성,넥타이,der Schlips,dem Schlips,den 기초,ein 기초,einem 기초,einen 기초,die Schlipse,images/Schlips.png
남성,머리,der Kopf,dem Kopf,den 기초,ein 기초,einem 기초,einen 기초,die Köpfe,images/Kopf.png
중성,눈,das Auge,dem Auge,das 기초,ein 기초,einem 기초,ein 기초,die Augen,images/Auge.png
여성,손,die Hand,der Hand,die 기초,eine 기초,einer 기초,eine 기초,die Hände,images/Hand.png
남성,팔,der Arm,dem Arm,den 기초,ein 기초,einem 기초,einen 기초,die Arme,images/Arm.png
중성,다리,das Bein,dem Bein,das 기초,ein 기초,einem 기초,ein 기초,die Beine,images/Bein.png
남성,발,der Fuß,dem Fuß,den 기초,ein 기초,einem 기초,einen 기초,die Füße,images/Fuß.png
남성,목,der Hals,dem Hals,den 기초,ein 기초,einem 기초,einen 기초,die Hälse,images/Hals.png
여성,어깨,die Schulter,der Schulter,die 기초,eine 기초,einer 기초,eine 기초,die Schultern,images/Schulter.png
여성,피부,die Haut,der Haut,die 기초,eine 기초,einer 기초,eine 기초,die Häute,images/Haut.png
남성,손가락,der Finger,dem Finger,den 기초,ein 기초,einem 기초,einen 기초,die Finger,images/Finger.png
여성,손톱,die Nagel,der Nagel,die 기초,eine 기초,einer 기초,eine 기초,die Nägel,images/Nagel.png
남성,등,der Rücken,dem Rücken,den 기초,ein 기초,einem 기초,einen 기초,die Rücken,images/Rücken.png
남성,배,der Bauch,dem Bauch,den 기초,ein 기초,einem 기초,einen 기초,die Bäuche,images/Bauch.png
중성,심장,das Herz,dem Herzen,das 기초,ein 기초,einem 기초,ein 기초,die Herzen,images/Herz.png
여성,허리,die Taille,der Taille,die 기초,eine 기초,einer 기초,eine 기초,die Taillen,images/Taille.png
중성,무릎,das Knie,dem Knie,das 기초,ein 기초,einem 기초,ein 기초,die Knie,images/Knie.png
중성,취미,das Hobby,dem Hobby,das 기초,ein 기초,einem 기초,ein 기초,die Hobbys,images/Hobby.png
남성,스포츠,der Sport,dem Sport,den 기초,ein 기초,einem 기초,einen 기초,die Sportarten,images/Sport.png
여성,음악,die Musik,der Musik,die 기초,eine 기초,einer 기초,eine 기초,die Musiken,images/Musik.png
중성,영화관,das Kino,dem Kino,das 기초,ein 기초,einem 기초,ein 기초,die Kinos,images/Kino.png
중성,여행,das Reisen,dem Reisen,das 기초,ein 기초,einem 기초,ein 기초,die Reisen,images/Reisen.png
여성,독서,die Lektüre,der Lektüre,die 기초,eine 기초,einer 기초,eine 기초,die Lektüren,images/Lektüre.png
남성,등산,der Bergsport,dem Bergsport,den 기초,ein 기초,einem 기초,einen 기초,die Bergsportarten,images/Bergsport.png
남성,수영,der Schwimmsport,dem Schwimmsport,den 기초,ein 기초,einem 기초,einen 기초,die Schwimmsportarten,images/Schwimmsport.png
남성,요리,der Kochsport,dem Kochsport,den 기초,ein 기초,einem 기초,einen 기초,die Kochsportarten,images/Kochsport.png
여성,그림그리기,die Malerei,der Malerei,die 기초,eine 기초,einer 기초,eine 기초,die Malereien,images/Malerei.png
남성,춤,der Tanz,dem Tanz,den 기초,ein 기초,einem 기초,einen 기초,die Tänze,images/Tanz.png
중성,노래,das Lied,dem Lied,das 기초,ein 기초,einem 기초,ein 기초,die Lieder,images/Lied.png
남성,자전거타기,der Radsport,dem Radsport,den 기초,ein 기초,einem 기초,einen 기초,die Radsportarten,images/Radsport.png
남성,스키,der Skisport,dem Skisport,den 기초,ein 기초,einem 기초,einen 기초,die Skisportarten,images/Skisport.png
남성,나무,der Baum,dem Baum,den 기초,ein 기초,einem 기초,einen 기초,die Bäume,images/Baum.png
여성,꽃,die Blume,der Blume,die 기초,eine 기초,einer 기초,eine 기초,die Blumen,images/Blume.png
남성,산,der Berg,dem Berg,den 기초,ein 기초,einem 기초,einen 기초,die Berge,images/Berg.png
중성,바다,das Meer,dem Meer,das 기초,ein 기초,einem 기초,ein 기초,die Meere,images/Meer.png
남성,호수,der See,dem See,den 기초,ein 기초,einem 기초,einen 기초,die Seen,images/See.png
여성,바다(동해 등),die See,der See,die 기초,eine 기초,einer 기초,eine 기초,die Seen,images/See.png
남성,강,der Fluss,dem Fluss,den 기초,ein 기초,einem 기초,einen 기초,die Flüsse,images/Fluss.png
남성,해변,der Strand,dem Strand,den 기초,ein 기초,einem 기초,einen 기초,die Strände,images/Strand.png
여성,섬,die Insel,der Insel,die 기초,eine 기초,einer 기초,eine 기초,die Inseln,images/Insel.png
여성,사막,die Wüste,der Wüste,die 기초,eine 기초,einer 기초,eine 기초,die Wüsten,images/Wüste.png
남성,하늘,der Himmel,dem Himmel,den 기초,ein 기초,einem 기초,einen 기초,die Himmel,images/Himmel.png
남성,달(천체),der Mond,dem Mond,den 기초,ein 기초,einem 기초,einen 기초,die Monde,images/Mond.png
